date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2020-04-01 00:00:00,97,97,87,66,53,31,89,79,88,90,22,53,72,65,50,80,88,72,84,88,76,80,56,70,27,50,59,94,76,82,62
2020-04-01 01:00:00,94,94,83,55,53,28,82,79,86,82,27,52,67,59,49,77,83,70,89,50,77,82,56,59,25,50,43,70,80,83,62
2020-04-01 02:00:00,90,90,82,58,59,32,72,71,86,79,65,52,68,54,49,82,75,69,92,51,77,73,62,35,22,44,73,93,54,70,64
2020-04-01 03:00:00,89,89,79,58,58,32,68,73,87,77,51,47,66,54,49,83,75,69,96,0,72,68,69,37,21,39,63,94,60,65,62
2020-04-01 04:00:00,85,85,78,63,70,22,51,65,87,81,26,37,61,49,46,94,57,64,96,28,69,73,82,34,18,36,42,89,74,59,66
2020-04-01 05:00:00,73,73,70,62,66,20,46,69,76,74,15,28,48,40,35,68,43,63,92,27,59,58,92,24,13,34,40,72,62,61,42
2020-04-01 06:00:00,61,61,60,54,63,12,28,63,61,63,8,21,34,31,23,51,28,53,89,24,49,47,87,14,11,31,36,76,43,60,27
2020-04-01 07:00:00,52,52,54,42,53,6,20,55,54,52,5,11,23,24,15,42,24,52,78,0,45,40,86,22,7,40,27,57,33,64,20
2020-04-01 08:00:00,45,45,55,36,56,10,15,51,46,48,3,9,18,28,11,39,18,51,76,21,40,44,85,12,6,45,20,37,31,63,15
2020-04-01 09:00:00,41,41,57,35,61,12,13,52,45,48,3,9,18,27,9,33,20,54,74,10,39,40,78,14,6,50,38,42,38,65,13
2020-04-01 10:00:00,40,40,55,39,52,6,14,53,42,47,5,12,18,26,8,38,23,53,71,0,40,37,67,24,6,51,19,18,30,70,12
2020-04-01 11:00:00,40,40,54,37,49,7,15,50,41,48,8,14,20,29,9,36,26,58,71,19,38,40,52,18,6,50,31,35,28,76,15
2020-04-01 12:00:00,41,41,55,30,59,5,18,50,40,48,9,18,22,29,11,35,30,60,72,0,41,41,42,15,7,44,16,41,31,78,20
2020-04-01 13:00:00,42,42,54,31,46,10,26,48,44,48,10,20,24,33,13,35,33,60,73,30,43,45,40,23,10,51,33,53,39,74,21
2020-04-01 14:00:00,42,42,55,41,51,8,33,51,47,54,11,23,32,34,16,41,38,59,72,14,46,47,45,34,10,50,35,42,36,70,27
2020-04-01 15:00:00,45,45,57,42,46,65,35,58,54,63,11,28,37,39,19,44,45,59,70,36,48,54,59,29,12,48,35,37,51,65,30
2020-04-01 16:00:00,48,48,60,43,46,100,39,58,58,69,13,27,39,46,22,49,51,64,70,22,54,64,80,34,13,51,27,53,60,63,35
2020-04-01 17:00:00,51,51,64,51,54,81,42,64,59,71,15,35,40,51,25,49,55,65,70,15,55,62,84,40,15,52,37,58,59,64,38
2020-04-01 18:00:00,55,55,70,51,53,68,48,66,67,72,13,38,44,55,27,55,59,70,70,8,61,71,75,50,16,60,23,69,74,62,43
2020-04-01 19:00:00,58,58,75,57,52,92,52,65,66,80,14,38,50,68,29,60,65,67,70,8,67,73,62,48,17,64,42,76,58,77,43
2020-04-01 20:00:00,65,65,81,51,51,80,49,66,73,87,17,36,58,66,51,69,67,80,73,45,74,72,53,60,19,71,30,74,85,65,46
2020-04-01 21:00:00,67,67,80,59,47,87,57,73,78,92,19,47,64,67,38,73,73,74,76,62,84,83,51,43,21,66,40,63,92,92,47
